case,f_khz,Lr_uH,Lm_uH,Vin,Cout_uF,Vf,ic_vcr,ic_ilm,ic_ilr,peak_half_A,peak_cycle_A,cross_dac300,cross_dac320
nom_150k,150.0,3.3850000000000002,17.25,24.0,940.0,0.7,0.0,0.0,0.0,24.834814737870413,31.397030231315174,True,True
nom_200k,200.0,3.3850000000000002,17.25,24.0,940.0,0.7,0.0,0.0,0.0,16.656541265392953,17.284868102622497,True,True
ic_f150_vcr-2_ilm-0.5_ilr-0.1,150.0,3.3850000000000002,17.25,24.0,940.0,0.7,-2.0,-0.5,-0.1,26.98193451621765,38.35631566200501,True,True
ic_f150_vcr-2_ilm-0.5_ilr+0.0,150.0,3.3850000000000002,17.25,24.0,940.0,0.7,-2.0,-0.5,0.0,27.154244699357438,38.757989851383016,True,True
ic_f150_vcr-2_ilm-0.5_ilr+0.1,150.0,3.3850000000000002,17.25,24.0,940.0,0.7,-2.0,-0.5,0.1,27.297458651897834,39.15942786063767,True,True
ic_f150_vcr-2_ilm+0.0_ilr-0.1,150.0,3.3850000000000002,17.25,24.0,940.0,0.7,-2.0,0.0,-0.1,27.000936566376627,38.41334027898145,True,True
ic_f150_vcr-2_ilm+0.0_ilr+0.0,150.0,3.3850000000000002,17.25,24.0,940.0,0.7,-2.0,0.0,0.0,27.155834376079927,38.78863534748696,True,True
ic_f150_vcr-2_ilm+0.0_ilr+0.1,150.0,3.3850000000000002,17.25,24.0,940.0,0.7,-2.0,0.0,0.1,27.306213602138058,39.190074963567,True,True
ic_f150_vcr-2_ilm+0.5_ilr-0.1,150.0,3.3850000000000002,17.25,24.0,940.0,0.7,-2.0,0.5,-0.1,27.06609488635851,38.57136597228904,True,True
ic_f150_vcr-2_ilm+0.5_ilr+0.0,150.0,3.3850000000000002,17.25,24.0,940.0,0.7,-2.0,0.5,0.0,27.213835390127993,38.94755553269471,True,True
