time_ms,state,step,period_request,period_limit,period_applied,frequency_hz,deadtime_counts,TBPRD,CMPA,DBRED,DBFED,burst_state,OST,PWM
0,WAIT,0,428,399,399,150000.0,190,399,200,190,190,0,1,0
5,WAIT,0,428,399,399,150000.0,190,399,200,190,190,0,1,0
10,WAIT,0,428,399,399,150000.0,190,399,200,190,190,0,1,0
15,WAIT,0,428,399,399,150000.0,190,399,200,190,190,0,1,0
20,WAIT,0,428,399,399,150000.0,190,399,200,190,190,0,1,0
25,WAIT,0,428,399,399,150000.0,190,399,200,190,190,0,1,0
30,WAIT,0,428,399,399,150000.0,190,399,200,190,190,0,1,0
35,WAIT,0,428,399,399,150000.0,190,399,200,190,190,0,1,0
40,WAIT,0,428,399,399,150000.0,190,399,200,190,190,0,1,0
45,WAIT,0,428,399,399,150000.0,190,399,200,190,190,0,1,0
50,WAIT,0,428,399,399,150000.0,190,399,200,190,190,0,1,0
55,WAIT,0,428,399,399,150000.0,190,399,200,190,190,0,1,0
60,WAIT,0,428,399,399,150000.0,190,399,200,190,190,0,1,0
65,WAIT,0,428,399,399,150000.0,190,399,200,190,190,0,1,0
70,WAIT,0,428,399,399,150000.0,190,399,200,190,190,0,1,0
75,WAIT,0,428,399,399,150000.0,190,399,200,190,190,0,1,0
80,WAIT,0,428,399,399,150000.0,190,399,200,190,190,0,1,0
85,WAIT,0,428,399,399,150000.0,190,399,200,190,190,0,1,0
90,WAIT,0,428,399,399,150000.0,190,399,200,190,190,0,1,0
95,WAIT,0,428,399,399,150000.0,190,399,200,190,190,0,1,0
100,RAMP,0,428,399,399,150000.0,190,399,200,190,190,0,0,1
105,RAMP,1,428,400,400,149625.9,189,400,200,189,189,0,0,1
110,RAMP,2,428,401,401,149253.7,188,401,201,188,188,0,0,1
115,RAMP,3,428,402,402,148883.4,187,402,201,187,187,0,0,1
120,RAMP,4,428,403,403,148514.9,186,403,202,186,186,0,0,1
125,RAMP,5,428,404,404,148148.1,185,404,202,185,185,0,0,1
130,RAMP,6,428,405,405,147783.3,184,405,203,184,184,0,0,1
135,RAMP,7,428,406,406,147420.1,183,406,203,183,183,0,0,1
140,RAMP,8,428,407,407,147058.8,182,407,204,182,182,0,0,1
145,RAMP,9,428,408,408,146699.3,181,408,204,181,181,0,0,1
150,RAMP,10,428,409,409,146341.5,180,409,205,180,180,0,0,1
155,RAMP,11,428,410,410,145985.4,179,410,205,179,179,0,0,1
160,RAMP,12,428,411,411,145631.1,178,411,206,178,178,0,0,1
165,RAMP,13,428,412,412,145278.5,177,412,206,177,177,0,0,1
170,RAMP,14,428,413,413,144927.5,176,413,207,176,176,0,0,1
175,RAMP,15,428,414,414,144578.3,175,414,207,175,175,0,0,1
180,RAMP,16,428,415,415,144230.8,174,415,208,174,174,0,0,1
185,RAMP,17,428,416,416,143884.9,173,416,208,173,173,0,0,1
190,RAMP,18,428,417,417,143540.7,172,417,209,172,172,0,0,1
195,RAMP,19,428,418,418,143198.1,171,418,209,171,171,0,0,1
200,RAMP,20,428,419,419,142857.1,170,419,210,170,170,0,0,1
205,RAMP,21,428,420,420,142517.8,169,420,210,169,169,0,0,1
210,RAMP,22,428,421,421,142180.1,168,421,211,168,168,0,0,1
215,RAMP,23,428,422,422,141844.0,167,422,211,167,167,0,0,1
220,RAMP,24,428,423,423,141509.4,166,423,212,166,166,0,0,1
225,RAMP,25,428,424,424,141176.5,165,424,212,165,165,0,0,1
230,RAMP,26,428,425,425,140845.1,164,425,213,164,164,0,0,1
235,RAMP,27,428,426,426,140515.2,163,426,213,163,163,0,0,1
240,RAMP,28,428,427,427,140186.9,162,427,214,162,162,0,0,1
245,RAMP,29,428,428,428,139860.1,161,428,214,161,161,0,0,1
250,RAMP,30,428,428,428,139860.1,160,428,214,160,160,0,0,1
255,RAMP,31,428,428,428,139860.1,159,428,214,159,159,0,0,1
260,RAMP,32,428,428,428,139860.1,158,428,214,158,158,0,0,1
265,RAMP,33,428,428,428,139860.1,157,428,214,157,157,0,0,1
270,RAMP,34,428,428,428,139860.1,156,428,214,156,156,0,0,1
275,RAMP,35,428,428,428,139860.1,155,428,214,155,155,0,0,1
280,RAMP,36,428,428,428,139860.1,154,428,214,154,154,0,0,1
285,RAMP,37,428,428,428,139860.1,153,428,214,153,153,0,0,1
290,RAMP,38,428,428,428,139860.1,152,428,214,152,152,0,0,1
295,RAMP,39,428,428,428,139860.1,151,428,214,151,151,0,0,1
300,RAMP,40,428,428,428,139860.1,150,428,214,150,150,0,0,1
305,RAMP,41,428,428,428,139860.1,149,428,214,149,149,0,0,1
310,RAMP,42,428,428,428,139860.1,148,428,214,148,148,0,0,1
315,RAMP,43,428,428,428,139860.1,147,428,214,147,147,0,0,1
320,RAMP,44,428,428,428,139860.1,146,428,214,146,146,0,0,1
325,RAMP,45,428,428,428,139860.1,145,428,214,145,145,0,0,1
330,RAMP,46,428,428,428,139860.1,144,428,214,144,144,0,0,1
335,RAMP,47,428,428,428,139860.1,143,428,214,143,143,0,0,1
340,RAMP,48,428,428,428,139860.1,142,428,214,142,142,0,0,1
345,RAMP,49,428,428,428,139860.1,141,428,214,141,141,0,0,1
350,RAMP,50,428,428,428,139860.1,140,428,214,140,140,0,0,1
355,RAMP,51,428,428,428,139860.1,139,428,214,139,139,0,0,1
360,RAMP,52,428,428,428,139860.1,138,428,214,138,138,0,0,1
365,RAMP,53,428,428,428,139860.1,137,428,214,137,137,0,0,1
370,RAMP,54,428,428,428,139860.1,136,428,214,136,136,0,0,1
375,RAMP,55,428,428,428,139860.1,135,428,214,135,135,0,0,1
380,RAMP,56,428,428,428,139860.1,134,428,214,134,134,0,0,1
385,RAMP,57,428,428,428,139860.1,133,428,214,133,133,0,0,1
390,RAMP,58,428,428,428,139860.1,132,428,214,132,132,0,0,1
395,RAMP,59,428,428,428,139860.1,131,428,214,131,131,0,0,1
400,RAMP,60,428,428,428,139860.1,130,428,214,130,130,0,0,1
405,RAMP,61,428,428,428,139860.1,129,428,214,129,129,0,0,1
410,RAMP,62,428,428,428,139860.1,128,428,214,128,128,0,0,1
415,RAMP,63,428,428,428,139860.1,127,428,214,127,127,0,0,1
420,RAMP,64,428,428,428,139860.1,126,428,214,126,126,0,0,1
425,RAMP,65,428,428,428,139860.1,125,428,214,125,125,0,0,1
430,RAMP,66,428,428,428,139860.1,124,428,214,124,124,0,0,1
435,RAMP,67,428,428,428,139860.1,123,428,214,123,123,0,0,1
440,RAMP,68,428,428,428,139860.1,122,428,214,122,122,0,0,1
445,RAMP,69,428,428,428,139860.1,121,428,214,121,121,0,0,1
450,RAMP,70,428,428,428,139860.1,120,428,214,120,120,0,0,1
455,RAMP,71,428,428,428,139860.1,119,428,214,119,119,0,0,1
460,RAMP,72,428,428,428,139860.1,118,428,214,118,118,0,0,1
465,RAMP,73,428,428,428,139860.1,117,428,214,117,117,0,0,1
470,RAMP,74,428,428,428,139860.1,116,428,214,116,116,0,0,1
475,RAMP,75,428,428,428,139860.1,115,428,214,115,115,0,0,1
480,RAMP,76,428,428,428,139860.1,114,428,214,114,114,0,0,1
485,RAMP,77,428,428,428,139860.1,113,428,214,113,113,0,0,1
490,RAMP,78,428,428,428,139860.1,112,428,214,112,112,0,0,1
495,RAMP,79,428,428,428,139860.1,111,428,214,111,111,0,0,1
500,RAMP,80,428,428,428,139860.1,110,428,214,110,110,0,0,1
505,RAMP,81,428,428,428,139860.1,109,428,214,109,109,0,0,1
510,RAMP,82,428,428,428,139860.1,108,428,214,108,108,0,0,1
515,RAMP,83,428,428,428,139860.1,107,428,214,107,107,0,0,1
520,RAMP,84,428,428,428,139860.1,106,428,214,106,106,0,0,1
525,RAMP,85,428,428,428,139860.1,105,428,214,105,105,0,0,1
530,RAMP,86,428,428,428,139860.1,104,428,214,104,104,0,0,1
535,RAMP,87,428,428,428,139860.1,103,428,214,103,103,0,0,1
540,RAMP,88,428,428,428,139860.1,102,428,214,102,102,0,0,1
545,RAMP,89,428,428,428,139860.1,101,428,214,101,101,0,0,1
550,RAMP,90,428,428,428,139860.1,100,428,214,100,100,0,0,1
555,RAMP,91,428,428,428,139860.1,99,428,214,99,99,0,0,1
560,RAMP,92,428,428,428,139860.1,98,428,214,98,98,0,0,1
565,RAMP,93,428,428,428,139860.1,97,428,214,97,97,0,0,1
570,RAMP,94,428,428,428,139860.1,96,428,214,96,96,0,0,1
575,RAMP,95,428,428,428,139860.1,95,428,214,95,95,0,0,1
580,RAMP,96,428,428,428,139860.1,94,428,214,94,94,0,0,1
585,RAMP,97,428,428,428,139860.1,93,428,214,93,93,0,0,1
590,RAMP,98,428,428,428,139860.1,92,428,214,92,92,0,0,1
595,RAMP,99,428,428,428,139860.1,91,428,214,91,91,0,0,1
600,RAMP,100,428,428,428,139860.1,90,428,214,90,90,0,0,1
605,RAMP,101,428,428,428,139860.1,89,428,214,89,89,0,0,1
610,RAMP,102,428,428,428,139860.1,88,428,214,88,88,0,0,1
615,RAMP,103,428,428,428,139860.1,87,428,214,87,87,0,0,1
620,RAMP,104,428,428,428,139860.1,86,428,214,86,86,0,0,1
625,RAMP,105,428,428,428,139860.1,85,428,214,85,85,0,0,1
630,RAMP,106,428,428,428,139860.1,84,428,214,84,84,0,0,1
635,RAMP,107,428,428,428,139860.1,83,428,214,83,83,0,0,1
640,RAMP,108,428,428,428,139860.1,82,428,214,82,82,0,0,1
645,RAMP,109,428,428,428,139860.1,81,428,214,81,81,0,0,1
650,RAMP,110,428,428,428,139860.1,80,428,214,80,80,0,0,1
655,RAMP,111,428,428,428,139860.1,79,428,214,79,79,0,0,1
660,RAMP,112,428,428,428,139860.1,78,428,214,78,78,0,0,1
665,RAMP,113,428,428,428,139860.1,77,428,214,77,77,0,0,1
670,RAMP,114,428,428,428,139860.1,76,428,214,76,76,0,0,1
675,RAMP,115,428,428,428,139860.1,75,428,214,75,75,0,0,1
680,RAMP,116,428,428,428,139860.1,74,428,214,74,74,0,0,1
685,RAMP,117,428,428,428,139860.1,73,428,214,73,73,0,0,1
690,RAMP,118,428,428,428,139860.1,72,428,214,72,72,0,0,1
695,RAMP,119,428,428,428,139860.1,71,428,214,71,71,0,0,1
700,RAMP,120,428,428,428,139860.1,70,428,214,70,70,0,0,1
705,RAMP,121,428,428,428,139860.1,69,428,214,69,69,0,0,1
710,RAMP,122,428,428,428,139860.1,68,428,214,68,68,0,0,1
715,RAMP,123,428,428,428,139860.1,67,428,214,67,67,0,0,1
720,RAMP,124,428,428,428,139860.1,66,428,214,66,66,0,0,1
725,RAMP,125,428,428,428,139860.1,65,428,214,65,65,0,0,1
730,RAMP,126,428,428,428,139860.1,64,428,214,64,64,0,0,1
735,RAMP,127,428,428,428,139860.1,63,428,214,63,63,0,0,1
740,RAMP,128,428,428,428,139860.1,62,428,214,62,62,0,0,1
745,RAMP,129,428,428,428,139860.1,61,428,214,61,61,0,0,1
750,RAMP,130,428,428,428,139860.1,60,428,214,60,60,0,0,1
755,RAMP,131,428,428,428,139860.1,59,428,214,59,59,0,0,1
760,RAMP,132,428,428,428,139860.1,58,428,214,58,58,0,0,1
765,RAMP,133,428,428,428,139860.1,57,428,214,57,57,0,0,1
770,RAMP,134,428,428,428,139860.1,56,428,214,56,56,0,0,1
775,RAMP,135,428,428,428,139860.1,55,428,214,55,55,0,0,1
780,RAMP,136,428,428,428,139860.1,54,428,214,54,54,0,0,1
785,RAMP,137,428,428,428,139860.1,53,428,214,53,53,0,0,1
790,RAMP,138,428,428,428,139860.1,52,428,214,52,52,0,0,1
795,RAMP,139,428,428,428,139860.1,51,428,214,51,51,0,0,1
800,RAMP,140,428,428,428,139860.1,50,428,214,50,50,0,0,1
805,RAMP,141,428,428,428,139860.1,49,428,214,49,49,0,0,1
810,RAMP,142,428,428,428,139860.1,48,428,214,48,48,0,0,1
815,RAMP,143,428,428,428,139860.1,47,428,214,47,47,0,0,1
820,RAMP,144,428,428,428,139860.1,46,428,214,46,46,0,0,1
825,RAMP,145,428,428,428,139860.1,45,428,214,45,45,0,0,1
830,RAMP,146,428,428,428,139860.1,44,428,214,44,44,0,0,1
835,RAMP,147,428,428,428,139860.1,43,428,214,43,43,0,0,1
840,RAMP,148,428,428,428,139860.1,42,428,214,42,42,0,0,1
845,RAMP,149,428,428,428,139860.1,41,428,214,41,41,0,0,1
850,RAMP,150,428,428,428,139860.1,40,428,214,40,40,0,0,1
855,RAMP,151,428,428,428,139860.1,39,428,214,39,39,0,0,1
860,RAMP,152,428,428,428,139860.1,38,428,214,38,38,0,0,1
865,RAMP,153,428,428,428,139860.1,37,428,214,37,37,0,0,1
870,COMPLETE,154,428,428,428,139860.1,36,428,214,36,36,0,0,1
875,COMPLETE,154,428,428,428,139860.1,36,428,214,36,36,0,0,1
880,COMPLETE,154,428,428,428,139860.1,36,428,214,36,36,0,0,1
885,COMPLETE,154,428,428,428,139860.1,36,428,214,36,36,0,0,1
890,COMPLETE,154,428,428,428,139860.1,36,428,214,36,36,0,0,1
895,COMPLETE,154,428,428,428,139860.1,36,428,214,36,36,0,0,1
900,COMPLETE,154,428,428,428,139860.1,36,428,214,36,36,0,0,1
905,COMPLETE,154,428,428,428,139860.1,36,428,214,36,36,0,0,1
910,COMPLETE,154,428,428,428,139860.1,36,428,214,36,36,0,0,1
915,COMPLETE,154,428,428,428,139860.1,36,428,214,36,36,0,0,1
920,COMPLETE,154,428,428,428,139860.1,36,428,214,36,36,0,0,1
925,COMPLETE,154,428,428,428,139860.1,36,428,214,36,36,0,0,1
930,COMPLETE,154,428,428,428,139860.1,36,428,214,36,36,0,0,1
935,COMPLETE,154,428,428,428,139860.1,36,428,214,36,36,0,0,1
940,COMPLETE,154,428,428,428,139860.1,36,428,214,36,36,0,0,1
945,COMPLETE,154,428,428,428,139860.1,36,428,214,36,36,0,0,1
950,COMPLETE,154,428,428,428,139860.1,36,428,214,36,36,0,0,1
955,COMPLETE,154,428,428,428,139860.1,36,428,214,36,36,0,0,1
960,COMPLETE,154,428,428,428,139860.1,36,428,214,36,36,0,0,1
965,COMPLETE,154,428,428,428,139860.1,36,428,214,36,36,0,0,1
970,COMPLETE,154,428,428,428,139860.1,36,428,214,36,36,0,0,1
975,COMPLETE,154,428,428,428,139860.1,36,428,214,36,36,0,0,1
980,COMPLETE,154,428,428,428,139860.1,36,428,214,36,36,0,0,1
985,COMPLETE,154,428,428,428,139860.1,36,428,214,36,36,0,0,1
990,COMPLETE,154,428,428,428,139860.1,36,428,214,36,36,0,0,1
995,COMPLETE,154,428,428,428,139860.1,36,428,214,36,36,0,0,1
1000,COMPLETE,154,428,428,428,139860.1,36,428,214,36,36,0,0,1
