time_ms,system_state,softstart_state,enable_request,enable_rising_count,period_request,period_limit,period_applied,frequency_hz,deadtime_counts,TBPRD,CMPA,DBRED,DBFED,comp_armed,comp_dac,pwm_prepared,OST,PWM
0,SOFT_START,WAIT,1,1,428,399,399,150000.0,190,399,200,190,190,0,300,0,1,0
5,SOFT_START,WAIT,1,1,428,399,399,150000.0,190,399,200,190,190,0,300,0,1,0
10,SOFT_START,WAIT,1,1,428,399,399,150000.0,190,399,200,190,190,0,300,0,1,0
15,SOFT_START,WAIT,1,1,428,399,399,150000.0,190,399,200,190,190,0,300,0,1,0
20,SOFT_START,WAIT,1,1,428,399,399,150000.0,190,399,200,190,190,0,300,0,1,0
25,SOFT_START,WAIT,1,1,428,399,399,150000.0,190,399,200,190,190,0,300,0,1,0
30,SOFT_START,WAIT,1,1,428,399,399,150000.0,190,399,200,190,190,0,300,0,1,0
35,SOFT_START,WAIT,1,1,428,399,399,150000.0,190,399,200,190,190,0,300,0,1,0
40,SOFT_START,WAIT,1,1,428,399,399,150000.0,190,399,200,190,190,0,300,0,1,0
45,SOFT_START,WAIT,1,1,428,399,399,150000.0,190,399,200,190,190,0,300,0,1,0
50,SOFT_START,WAIT,1,1,428,399,399,150000.0,190,399,200,190,190,0,300,0,1,0
55,SOFT_START,WAIT,1,1,428,399,399,150000.0,190,399,200,190,190,0,300,0,1,0
60,SOFT_START,WAIT,1,1,428,399,399,150000.0,190,399,200,190,190,0,300,0,1,0
65,SOFT_START,WAIT,1,1,428,399,399,150000.0,190,399,200,190,190,0,300,0,1,0
70,SOFT_START,WAIT,1,1,428,399,399,150000.0,190,399,200,190,190,0,300,0,1,0
75,SOFT_START,WAIT,1,1,428,399,399,150000.0,190,399,200,190,190,0,300,0,1,0
80,SOFT_START,WAIT,1,1,428,399,399,150000.0,190,399,200,190,190,0,300,0,1,0
85,SOFT_START,WAIT,1,1,428,399,399,150000.0,190,399,200,190,190,0,300,0,1,0
90,SOFT_START,WAIT,1,1,428,399,399,150000.0,190,399,200,190,190,0,300,0,1,0
95,SOFT_START,WAIT,1,1,428,399,399,150000.0,190,399,200,190,190,0,300,0,1,0
100,SOFT_START,RAMP,1,1,428,399,399,150000.0,190,399,200,190,190,1,300,0,0,1
105,SOFT_START,RAMP,1,1,428,400,400,149625.9,189,400,200,189,189,1,300,0,0,1
110,SOFT_START,RAMP,1,1,428,401,401,149253.7,188,401,201,188,188,1,300,0,0,1
115,SOFT_START,RAMP,1,1,428,402,402,148883.4,187,402,201,187,187,1,300,0,0,1
120,SOFT_START,RAMP,1,1,428,403,403,148514.9,186,403,202,186,186,1,300,0,0,1
125,SOFT_START,RAMP,1,1,428,404,404,148148.1,185,404,202,185,185,1,300,0,0,1
130,SOFT_START,RAMP,1,1,428,405,405,147783.3,184,405,203,184,184,1,300,0,0,1
135,SOFT_START,RAMP,1,1,428,406,406,147420.1,183,406,203,183,183,1,300,0,0,1
140,SOFT_START,RAMP,1,1,428,407,407,147058.8,182,407,204,182,182,1,300,0,0,1
145,SOFT_START,RAMP,1,1,428,408,408,146699.3,181,408,204,181,181,1,300,0,0,1
150,SOFT_START,RAMP,1,1,428,409,409,146341.5,180,409,205,180,180,1,300,0,0,1
155,SOFT_START,RAMP,1,1,428,410,410,145985.4,179,410,205,179,179,1,300,0,0,1
