time_ms,system_state,softstart_state,enable_request,enable_rising_count,target_period,target_cmpa,target_deadtime,hw_period_model,hw_cmpa_model,hw_deadtime_model,final_apply_pending,final_applied,comp_armed,comp_dac,pwm_prepared,OST,PWM
0,SOFT_START,WAIT,1,1,399,200,190,0,0,0,0,0,0,300,0,1,0
5,SOFT_START,WAIT,1,1,399,200,190,0,0,0,0,0,0,300,0,1,0
10,SOFT_START,WAIT,1,1,399,200,190,0,0,0,0,0,0,300,0,1,0
15,SOFT_START,WAIT,1,1,399,200,190,0,0,0,0,0,0,300,0,1,0
20,SOFT_START,WAIT,1,1,399,200,190,0,0,0,0,0,0,300,0,1,0
25,SOFT_START,WAIT,1,1,399,200,190,0,0,0,0,0,0,300,0,1,0
30,SOFT_START,WAIT,1,1,399,200,190,0,0,0,0,0,0,300,0,1,0
35,SOFT_START,WAIT,1,1,399,200,190,0,0,0,0,0,0,300,0,1,0
40,SOFT_START,WAIT,1,1,399,200,190,0,0,0,0,0,0,300,0,1,0
45,SOFT_START,WAIT,1,1,399,200,190,0,0,0,0,0,0,300,0,1,0
50,SOFT_START,WAIT,1,1,399,200,190,0,0,0,0,0,0,300,0,1,0
55,SOFT_START,WAIT,1,1,399,200,190,0,0,0,0,0,0,300,0,1,0
60,SOFT_START,WAIT,1,1,399,200,190,0,0,0,0,0,0,300,0,1,0
65,SOFT_START,WAIT,1,1,399,200,190,0,0,0,0,0,0,300,0,1,0
70,SOFT_START,WAIT,1,1,399,200,190,0,0,0,0,0,0,300,0,1,0
75,SOFT_START,WAIT,1,1,399,200,190,0,0,0,0,0,0,300,0,1,0
80,SOFT_START,WAIT,1,1,399,200,190,0,0,0,0,0,0,300,0,1,0
85,SOFT_START,WAIT,1,1,399,200,190,0,0,0,0,0,0,300,0,1,0
90,SOFT_START,WAIT,1,1,399,200,190,0,0,0,0,0,0,300,0,1,0
95,SOFT_START,WAIT,1,1,399,200,190,0,0,0,0,0,0,300,0,1,0
100,SOFT_START,RAMP,1,1,399,200,190,399,200,190,0,0,1,300,0,0,1
105,SOFT_START,RAMP,1,1,400,200,189,399,200,190,0,0,1,300,0,0,1
110,SOFT_START,RAMP,1,1,401,201,188,399,200,190,0,0,1,300,0,0,1
115,SOFT_START,RAMP,1,1,402,201,187,399,200,190,0,0,1,300,0,0,1
120,SOFT_START,RAMP,1,1,403,202,186,399,200,190,0,0,1,300,0,0,1
