freq_hz,24V_5W,24V_25W,24V_50W,24V_75W,24V_100W,30V_5W,30V_25W,30V_50W,30V_75W,30V_100W,36V_5W,36V_25W,36V_50W,36V_75W,36V_100W
120000,15.799,15.330,14.088,12.536,11.006,19.923,19.337,17.785,15.845,13.932,24.048,23.345,21.482,19.153,16.859
121000,15.790,15.312,14.047,12.476,10.934,19.913,19.315,17.734,15.770,13.843,24.036,23.317,21.421,19.064,16.752
122000,15.782,15.293,14.007,12.416,10.864,19.903,19.292,17.684,15.695,13.755,24.023,23.290,21.361,18.974,16.646
123000,15.774,15.275,13.967,12.357,10.794,19.893,19.269,17.634,15.621,13.667,24.011,23.263,21.300,18.885,16.541
124000,15.766,15.257,13.927,12.298,10.725,19.883,19.247,17.584,15.548,13.581,23.999,23.236,21.240,18.797,16.437
125000,15.759,15.240,13.887,12.240,10.656,19.873,19.224,17.534,15.475,13.495,23.988,23.209,21.181,18.710,16.334
126000,15.751,15.222,13.847,12.182,10.588,19.864,19.202,17.484,15.402,13.410,23.977,23.183,21.121,18.623,16.233
127000,15.744,15.204,13.808,12.124,10.521,19.855,19.180,17.435,15.330,13.327,23.966,23.156,21.062,18.536,16.132
128000,15.737,15.187,13.768,12.067,10.455,19.846,19.158,17.385,15.259,13.244,23.955,23.130,21.003,18.450,16.032
129000,15.730,15.169,13.729,12.010,10.389,19.837,19.137,17.336,15.188,13.161,23.945,23.104,20.944,18.365,15.934
130000,15.723,15.152,13.690,11.954,10.324,19.829,19.115,17.287,15.117,13.080,23.934,23.078,20.885,18.280,15.836
131000,15.716,15.135,13.651,11.897,10.260,19.820,19.093,17.238,15.047,13.000,23.924,23.052,20.826,18.196,15.739
132000,15.710,15.118,13.612,11.842,10.196,19.812,19.072,17.190,14.977,12.920,23.915,23.026,20.768,18.112,15.644
133000,15.703,15.100,13.573,11.786,10.133,19.804,19.051,17.141,14.908,12.841,23.905,23.001,20.709,18.029,15.549
134000,15.697,15.083,13.534,11.731,10.070,19.796,19.029,17.093,14.839,12.763,23.896,22.975,20.651,17.947,15.455
135000,15.691,15.066,13.496,11.676,10.008,19.789,19.008,17.044,14.771,12.685,23.886,22.950,20.593,17.865,15.363
136000,15.685,15.050,13.457,11.622,9.947,19.781,18.987,16.996,14.703,12.609,23.877,22.924,20.536,17.783,15.271
137000,15.679,15.033,13.419,11.568,9.886,19.774,18.966,16.948,14.635,12.533,23.868,22.899,20.478,17.702,15.180
138000,15.673,15.016,13.380,11.515,9.826,19.766,18.945,16.901,14.568,12.458,23.860,22.874,20.421,17.622,15.090
139000,15.667,14.999,13.342,11.461,9.767,19.759,18.924,16.853,14.502,12.384,23.851,22.849,20.363,17.542,15.000
140000,15.662,14.983,13.304,11.408,9.708,19.752,18.903,16.805,14.435,12.310,23.843,22.824,20.306,17.463,14.912
141000,15.656,14.966,13.266,11.356,9.650,19.746,18.883,16.758,14.370,12.237,23.835,22.799,20.249,17.384,14.825
142000,15.651,14.950,13.228,11.304,9.592,19.739,18.862,16.711,14.304,12.165,23.827,22.774,20.193,17.305,14.738
143000,15.646,14.933,13.191,11.252,9.535,19.732,18.841,16.663,14.240,12.094,23.819,22.750,20.136,17.227,14.652
144000,15.641,14.917,13.153,11.200,9.478,19.726,18.821,16.616,14.175,12.023,23.811,22.725,20.080,17.150,14.568
145000,15.636,14.900,13.116,11.149,9.422,19.719,18.800,16.569,14.111,11.953,23.803,22.700,20.023,17.073,14.484
146000,15.631,14.884,13.078,11.098,9.367,19.713,18.780,16.523,14.047,11.884,23.796,22.676,19.967,16.997,14.400
147000,15.626,14.867,13.041,11.047,9.312,19.707,18.759,16.476,13.984,11.815,23.789,22.651,19.911,16.921,14.318
148000,15.621,14.851,13.004,10.997,9.257,19.701,18.739,16.430,13.922,11.747,23.781,22.627,19.855,16.846,14.236
149000,15.616,14.835,12.967,10.947,9.204,19.695,18.719,16.383,13.859,11.679,23.774,22.602,19.800,16.771,14.155
150000,15.612,14.819,12.930,10.898,9.150,19.689,18.698,16.337,13.797,11.613,23.767,22.578,19.744,16.697,14.075
151000,15.607,14.802,12.893,10.849,9.097,19.684,18.678,16.291,13.736,11.547,23.761,22.554,19.689,16.623,13.996
152000,15.603,14.786,12.856,10.800,9.045,19.678,18.658,16.245,13.674,11.481,23.754,22.529,19.634,16.549,13.917
153000,15.598,14.770,12.819,10.751,8.993,19.673,18.638,16.199,13.614,11.416,23.747,22.505,19.579,16.476,13.840
154000,15.594,14.754,12.783,10.703,8.942,19.667,18.618,16.153,13.553,11.352,23.741,22.481,19.524,16.404,13.763
155000,15.590,14.738,12.746,10.655,8.891,19.662,18.597,16.108,13.493,11.289,23.734,22.457,19.469,16.332,13.686
156000,15.585,14.722,12.710,10.607,8.840,19.657,18.577,16.062,13.434,11.226,23.728,22.433,19.415,16.261,13.611
157000,15.581,14.706,12.674,10.560,8.791,19.651,18.557,16.017,13.375,11.163,23.722,22.409,19.360,16.190,13.536
158000,15.577,14.690,12.637,10.513,8.741,19.646,18.537,15.972,13.316,11.101,23.716,22.385,19.306,16.119,13.462
159000,15.573,14.674,12.601,10.466,8.692,19.641,18.517,15.927,13.257,11.040,23.710,22.361,19.252,16.049,13.388
160000,15.569,14.658,12.565,10.420,8.644,19.636,18.497,15.882,13.199,10.979,23.704,22.337,19.198,15.979,13.315
161000,15.565,14.642,12.530,10.373,8.595,19.632,18.477,15.837,13.142,10.919,23.698,22.313,19.144,15.910,13.243
162000,15.561,14.626,12.494,10.328,8.548,19.627,18.457,15.792,13.085,10.860,23.692,22.289,19.091,15.841,13.172
163000,15.558,14.610,12.458,10.282,8.501,19.622,18.437,15.748,13.028,10.801,23.687,22.265,19.037,15.773,13.101
164000,15.554,14.594,12.423,10.237,8.454,19.617,18.417,15.703,12.971,10.742,23.681,22.241,18.984,15.705,13.031
165000,15.550,14.578,12.387,10.192,8.407,19.613,18.397,15.659,12.915,10.684,23.675,22.217,18.931,15.638,12.961
166000,15.547,14.562,12.352,10.147,8.362,19.608,18.377,15.615,12.859,10.627,23.670,22.193,18.878,15.571,12.892
167000,15.543,14.546,12.317,10.103,8.316,19.604,18.358,15.571,12.804,10.570,23.665,22.169,18.825,15.505,12.824
168000,15.540,14.530,12.282,10.059,8.271,19.600,18.338,15.527,12.749,10.514,23.659,22.145,18.772,15.438,12.757
