candidate,kp_hz_per_v,ki_step_hz_per_v_step,ki_cont_hz_per_v_s,worst_overshoot_v,worst_settle_ms,worst_ss_err_v,worst_ripple_pp_hz,gain_sweep,cycle_sweep
A,100,100,5000000.0,2.4800701494929314,8.38,4.41689606848375,86.04809834220214,0.25x:nf4;0.5x:nf4;1.0x:nf4;2.0x:nf4;4.0x:nf4,18.0us:fail0;20.0us:fail0;22.0us:fail0;25.0us:fail0
C,10000,100,5000000.0,2.4502631762134435,7.78,4.41689606848375,596.0174976531998,0.25x:nf4;0.5x:nf4;1.0x:nf4;2.0x:nf4;4.0x:nf4,18.0us:fail0;20.0us:fail0;22.0us:fail0;25.0us:fail0
B,300,100,5000000.0,2.468326387853356,8.360000000000001,4.41689606848375,95.10762068399345,0.25x:nf4;0.5x:nf4;1.0x:nf4;2.0x:nf4;4.0x:nf4,18.0us:fail0;20.0us:fail0;22.0us:fail0;25.0us:fail0
MODEL_A,24.0,5.0,10.0,UNREACHABLE,7.32,7.48,,,
MODEL_A,24.0,5.0,12.0,UNREACHABLE,7.36,7.51,,,
MODEL_A,24.0,5.0,15.0,UNREACHABLE,7.39,7.53,,,
MODEL_A,24.0,25.0,10.0,UNREACHABLE,6.07,6.82,,,
MODEL_A,24.0,25.0,12.0,UNREACHABLE,6.65,7.13,,,
MODEL_A,24.0,25.0,15.0,UNREACHABLE,7.04,7.33,,,
MODEL_A,24.0,50.0,10.0,UNREACHABLE,4.23,5.59,,,
MODEL_A,24.0,50.0,12.0,UNREACHABLE,5.31,6.36,,,
MODEL_A,24.0,50.0,15.0,UNREACHABLE,6.29,6.94,,,
MODEL_A,24.0,75.0,10.0,UNREACHABLE,2.96,4.43,,,
MODEL_A,24.0,75.0,12.0,UNREACHABLE,4.11,5.49,,,
MODEL_A,24.0,75.0,15.0,UNREACHABLE,5.41,6.43,,,
MODEL_A,24.0,100.0,10.0,UNREACHABLE,2.15,3.5,,,
MODEL_A,24.0,100.0,12.0,UNREACHABLE,3.2,4.67,,,
MODEL_A,24.0,100.0,15.0,UNREACHABLE,4.6,5.87,,,
MODEL_A,30.0,5.0,10.0,UNREACHABLE,9.32,9.53,,,
MODEL_A,30.0,5.0,12.0,UNREACHABLE,9.38,9.56,,,
MODEL_A,30.0,5.0,15.0,UNREACHABLE,9.41,9.59,,,
MODEL_A,30.0,25.0,10.0,UNREACHABLE,7.76,8.69,,,
MODEL_A,30.0,25.0,12.0,UNREACHABLE,8.48,9.08,,,
MODEL_A,30.0,25.0,15.0,UNREACHABLE,8.98,9.34,,,
MODEL_A,30.0,50.0,10.0,UNREACHABLE,5.46,7.15,,,
