# run_id=0x2509059C,profile_id=0x1405,algorithm_id=0x0015,out_sha256=AEF6083F6E08BC65689F86F7F67FF6DCDB3D6409C8219F5C1FA7C1FAAF0A09AA
# data_checksum=0x6c75b0c2,count=480,overflow=0
# scope=supplemental_monotonic_16_level_map,scheduled_cr_not_independently_measured=true
bin,t_end_ms_nominal,t_end_target_ticks,scheduled_cr_ohm,raw_min,raw_max,raw_avg,vout_avg_v,cycle_sum,packet_sum,tick_delta,demand_index
0,100,5044,20,1221,1262,1247,10.023673,6591,49,5044,22043
1,200,10026,20,1228,1262,1247,10.023673,6482,48,4982,21870
2,300,15029,20,1221,1263,1248,10.031763,6488,48,5003,21870
3,400,20000,20,1218,1263,1248,10.031763,6464,48,4971,21641
4,500,25000,20,1222,1263,1248,10.031763,6488,48,5000,21870
5,600,30063,20,1227,1263,1250,10.047941,6598,49,5063,22043
6,700,35057,20,1228,1263,1249,10.039852,6561,49,4994,21812
7,800,40000,20,1222,1262,1248,10.031763,6441,48,4943,21574
8,900,45060,20,1225,1263,1249,10.039852,6602,49,5060,22110
9,1000,50000,20,1217,1262,1247,10.023673,6442,48,4940,21574
10,1100,55022,20,1231,1263,1252,10.064120,6584,49,5022,22043
11,1200,60000,20,1222,1261,1242,9.983227,6460,48,4978,21641
12,1300,65029,20,1239,1263,1253,10.072209,6583,49,5029,22043
13,1400,70000,20,1221,1259,1249,10.039852,6463,48,4971,21641
14,1500,75035,20,1227,1262,1249,10.039852,6583,49,5035,22043
15,1600,80000,20,1222,1260,1249,10.039852,6459,48,4965,21574
16,1700,85000,20,1224,1261,1249,10.039852,6465,48,5000,21641
17,1800,90016,20,1224,1262,1248,10.031763,6584,49,5016,22043
18,1900,95063,20,1223,1261,1250,10.047941,6508,48,5047,21937
19,2000,100050,20,1228,1259,1247,10.023673,6470,48,4987,21641
20,2100,105000,20,1236,1261,1249,10.039852,6454,48,4950,21574
21,2200,110058,20,1222,1258,1246,10.015584,6599,49,5058,22043
22,2300,115000,20,1225,1263,1249,10.039852,6348,47,4942,21397
23,2400,120016,20,1226,1262,1249,10.039852,6583,49,5016,22043
24,2500,125008,20,1226,1261,1250,10.047941,6560,49,4992,21812
25,2600,130037,20,1224,1262,1250,10.047941,6579,49,5029,21976
26,2700,135000,20,1221,1262,1250,10.047941,6449,48,4963,21574
27,2800,140050,20,1236,1262,1251,10.056031,6596,49,5050,22043
28,2900,145000,20,1222,1262,1246,10.015584,6444,48,4950,21574
29,3000,150000,20,1224,1263,1249,10.039852,6558,49,5000,21745
30,3100,155000,19,1218,1261,1243,9.991316,6567,49,5000,21976
31,3200,160000,19,1221,1263,1248,10.031763,6577,49,5000,21976
32,3300,165000,19,1215,1260,1245,10.007495,6466,48,5000,21641
33,3400,170036,19,1216,1262,1249,10.039852,6592,49,5036,22043
34,3500,175062,19,1221,1263,1249,10.039852,6577,49,5026,21976
35,3600,180020,19,1217,1262,1248,10.031763,6456,48,4958,21574
36,3700,185065,19,1230,1263,1251,10.056031,6580,49,5045,22043
37,3800,190000,19,1224,1262,1246,10.015584,6441,48,4935,21574
38,3900,195000,19,1225,1263,1249,10.039852,6573,49,5000,21976
39,4000,200000,19,1225,1261,1246,10.015584,6561,49,5000,21812
40,4100,205048,19,1222,1262,1248,10.031763,6593,49,5048,22043
41,4200,210000,19,1219,1263,1247,10.023673,6445,48,4952,21574
42,4300,215000,19,1220,1263,1247,10.023673,6567,49,5000,21976
43,4400,220014,19,1239,1263,1254,10.080299,6577,49,5014,21976
44,4500,225062,19,1218,1264,1247,10.023673,6584,49,5048,22043
45,4600,230000,19,1217,1262,1246,10.015584,6447,48,4938,21574
46,4700,235042,19,1232,1261,1250,10.047941,6586,49,5042,22043
47,4800,240062,19,1221,1262,1247,10.023673,6572,49,5020,21976
48,4900,245018,19,1223,1262,1246,10.015584,6460,48,4956,21641
49,5000,250006,19,1223,1259,1247,10.023673,6553,49,4988,21745
50,5100,255024,19,1222,1263,1247,10.023673,6574,49,5018,21976
51,5200,260000,19,1230,1263,1250,10.047941,6445,48,4976,21574
52,5300,265046,19,1219,1262,1246,10.015584,6599,49,5046,22043
53,5400,270000,19,1223,1262,1248,10.031763,6445,48,4954,21574
54,5500,275010,19,1220,1262,1246,10.015584,6566,49,5010,21976
55,5600,280064,19,1219,1262,1248,10.031763,6672,50,5054,22144
56,5700,285000,19,1222,1259,1246,10.015584,6449,48,4936,21574
57,5800,290000,19,1223,1263,1248,10.031763,6452,48,5000,21574
58,5900,295008,19,1223,1260,1247,10.023673,6580,49,5008,22043
59,6000,300008,19,1223,1262,1247,10.023673,6562,49,5000,21812
60,6100,305000,18,1222,1262,1248,10.031763,6468,48,4992,21641
61,6200,310000,18,1229,1262,1252,10.064120,6565,49,5000,21812
62,6300,315058,18,1224,1264,1248,10.031763,6585,49,5058,22043
63,6400,320000,18,1222,1262,1248,10.031763,6441,48,4942,21574
64,6500,325000,18,1224,1260,1249,10.039852,6570,49,5000,21976
65,6600,330000,18,1230,1263,1251,10.056031,6549,49,5000,21745
66,6700,335047,18,1221,1262,1249,10.039852,6597,49,5047,22043
67,6800,340010,18,1219,1261,1250,10.047941,6543,49,4963,21745
68,6900,345056,18,1216,1262,1248,10.031763,6583,49,5046,22043
69,7000,350036,18,1222,1262,1248,10.031763,6474,48,4980,21641
70,7100,355009,18,1215,1262,1244,9.999405,6550,49,4973,21745
71,7200,360042,18,1221,1263,1251,10.056031,6574,49,5033,21976
72,7300,365000,18,1232,1263,1251,10.056031,6456,48,4958,21574
73,7400,370000,18,1226,1262,1249,10.039852,6557,49,5000,21745
74,7500,375004,18,1221,1262,1250,10.047941,6570,49,5004,21976
75,7600,380000,18,1221,1264,1247,10.023673,6565,49,4996,21812
76,7700,385000,18,1224,1263,1250,10.047941,6561,49,5000,21812
77,7800,390000,18,1223,1263,1250,10.047941,6467,48,5000,21641
78,7900,395003,18,1224,1263,1249,10.039852,6579,49,5003,21976
79,8000,400002,18,1227,1263,1249,10.039852,6560,49,4999,21812
80,8100,405000,18,1223,1262,1251,10.056031,6545,49,4998,21745
81,8200,410000,18,1222,1263,1250,10.047941,6568,49,5000,21976
82,8300,415054,18,1234,1263,1250,10.047941,6681,50,5054,22211
83,8400,420063,18,1222,1262,1247,10.023673,6483,48,5009,21870
84,8500,425000,18,1223,1262,1246,10.015584,6441,48,4937,21574
85,8600,430000,18,1232,1262,1251,10.056031,6466,48,5000,21641
86,8700,435000,18,1227,1259,1245,10.007495,6562,49,5000,21812
87,8800,440000,18,1234,1262,1250,10.047941,6569,49,5000,21976
88,8900,445000,18,1221,1263,1247,10.023673,6557,49,5000,21745
89,9000,450036,18,1224,1262,1249,10.039852,6578,49,5036,21976
90,9100,455000,17,1224,1263,1247,10.023673,6455,48,4964,21574
91,9200,460008,17,1222,1263,1248,10.031763,6572,49,5008,21976
92,9300,465000,17,1226,1262,1250,10.047941,6537,49,4992,21679
93,9400,470004,17,1221,1261,1248,10.031763,6577,49,5004,21976
94,9500,475062,17,1226,1262,1251,10.056031,6591,49,5058,22043
95,9600,480000,17,1218,1262,1248,10.031763,6434,48,4938,21507
96,9700,485011,17,1225,1261,1247,10.023673,6575,49,5011,21976
97,9800,490019,17,1222,1263,1247,10.023673,6576,49,5008,21976
98,9900,495060,17,1222,1264,1250,10.047941,6580,49,5041,22043
99,10000,500040,17,1222,1262,1247,10.023673,6468,48,4980,21641
100,10100,505000,17,1234,1265,1251,10.056031,6454,48,4960,21574
101,10200,510000,17,1223,1262,1245,10.007495,6477,48,5000,21641
102,10300,515036,17,1230,1262,1251,10.056031,6578,49,5036,21976
103,10400,520044,17,1229,1263,1251,10.056031,6571,49,5008,21976
104,10500,525000,17,1237,1262,1252,10.064120,6460,48,4956,21641
105,10600,530000,17,1222,1264,1250,10.047941,6558,49,5000,21745
106,10700,535017,17,1217,1261,1247,10.023673,6588,49,5017,22043
107,10800,540021,17,1215,1261,1246,10.015584,6472,48,5004,21641
108,10900,545000,17,1223,1262,1245,10.007495,6539,49,4979,21679
109,11000,550000,17,1225,1263,1250,10.047941,6552,49,5000,21745
110,11100,555059,17,1215,1262,1250,10.047941,6583,49,5059,22043
111,11200,560025,17,1222,1262,1245,10.007495,6536,49,4966,21679
112,11300,565064,17,1224,1260,1247,10.023673,6583,49,5039,22043
113,11400,570000,17,1218,1262,1250,10.047941,6437,48,4936,21507
114,11500,575000,17,1222,1261,1245,10.007495,6460,48,5000,21641
115,11600,580006,17,1239,1262,1252,10.064120,6580,49,5006,22043
116,11700,585000,17,1223,1261,1245,10.007495,6542,49,4994,21745
117,11800,590066,17,1223,1263,1246,10.015584,6688,50,5066,22211
118,11900,595015,17,1222,1257,1247,10.023673,6453,48,4949,21574
119,12000,600054,17,1222,1263,1249,10.039852,6576,49,5039,21976
120,12100,605067,16,1224,1262,1250,10.047941,6560,49,5013,21812
121,12200,610029,16,1223,1261,1245,10.007495,6538,49,4962,21679
122,12300,615040,16,1226,1262,1250,10.047941,6571,49,5011,21976
123,12400,620040,16,1221,1264,1249,10.039852,6562,49,5000,21812
