# run_id=0x25090601,profile_id=0x1405,algorithm_id=0x0016,out_sha256=D10284938BE15DEA5772DF8595F064E40321B2BF26898CED382DE0ABD2C3A8CD
# data_checksum=0xdd05003,count=400,overflow=0
# scope=supplemental_monotonic_16_level_map,scheduled_cr_not_independently_measured=true
bin,t_end_ms_nominal,t_end_target_ticks,scheduled_cr_ohm,raw_min,raw_max,raw_avg,vout_avg_v,cycle_sum,packet_sum,tick_delta,demand_index
0,200,10008,20,1221,1263,1249,10.039852,13024,98,10008,21450
1,400,19960,20,1230,1262,1251,10.056031,12901,97,9952,21413
2,600,29960,20,1225,1262,1248,10.031763,12994,98,10000,21384
3,800,39960,20,1224,1264,1249,10.039852,12918,97,10000,21413
4,1000,49982,20,1221,1263,1250,10.047941,13101,99,10022,21582
5,1200,60008,20,1221,1263,1248,10.031763,13017,98,10026,21450
6,1400,69960,20,1218,1263,1248,10.031763,12878,97,9952,21186
7,1600,79960,20,1227,1263,1248,10.031763,13018,98,10000,21450
8,1800,89960,20,1223,1263,1250,10.047941,12910,97,10000,21413
9,2000,100014,20,1224,1263,1248,10.031763,13130,99,10054,21648
10,2200,110012,20,1224,1263,1249,10.039852,12991,98,9998,21384
11,2400,119960,20,1221,1263,1247,10.023673,12969,98,9948,21384
12,2600,129986,20,1213,1263,1249,10.039852,13013,98,10026,21450
13,2800,139960,20,1221,1263,1246,10.015584,12984,98,9974,21384
14,3000,149992,20,1221,1263,1248,10.031763,13026,98,10032,21450
15,3200,159960,20,1225,1262,1248,10.031763,12969,98,9968,21384
16,3400,169960,20,1213,1264,1247,10.023673,12900,97,10000,21252
17,3600,179976,20,1218,1264,1249,10.039852,13024,98,10016,21450
18,3800,190016,20,1222,1262,1249,10.039852,13102,99,10040,21582
19,4000,199960,20,1223,1262,1248,10.031763,12866,97,9944,21186
20,4200,210017,20,1224,1264,1247,10.023673,13125,99,10057,21648
21,4400,220005,20,1221,1263,1247,10.023673,12986,98,9988,21384
22,4600,230005,20,1221,1264,1247,10.023673,12986,98,10000,21384
23,4800,239960,20,1221,1263,1248,10.031763,12875,97,9955,21186
24,5000,249960,20,1224,1263,1247,10.023673,12996,98,10000,21384
25,5200,259960,19,1219,1264,1247,10.023673,12996,98,10000,21384
26,5400,269994,19,1216,1263,1248,10.031763,13056,98,10034,21679
27,5600,279965,19,1221,1263,1249,10.039852,12997,98,9971,21384
28,5800,290011,19,1222,1264,1246,10.015584,13031,98,10046,21450
